date, pm25, pm10, o3, no2, so2, co
2023/3/25, 11, 9, 32, 8, , 
2023/3/26, 15, 9, 32, 9, , 
2023/3/27, 14, 8, 35, 9, , 
2023/3/28, 14, 10, 31, 13, , 
2023/3/29, 24, 10, 36, 16, , 
2023/3/30, 45, 16, 30, 12, , 
2023/3/31, 22, 12, 29, 6, , 
2019/4/1, 39, 26, 30, 22, 1, 
2019/4/2, 52, 13, 29, 19, , 
2019/4/3, 21, 12, 26, 20, , 
2019/4/4, 30, 24, 15, 19, , 
2019/4/5, 56, 28, 23, 19, , 
2019/4/6, 63, 20, 41, 21, , 
2019/4/7, 41, 45, 23, 17, , 
2019/4/8, 87, 48, 18, 20, 1, 
2019/4/9, 91, 31, 36, 17, , 
2019/4/10, 66, 18, 35, 15, , 
2019/4/11, 50, 18, 27, 15, , 
2019/4/12, 45, 22, 29, 11, , 
2019/4/13, 57, 24, 31, 9, , 
2019/4/14, 66, 21, 35, 17, 1, 
2019/4/15, 59, 21, 38, 20, 1, 
2019/4/16, 49, 24, 32, 23, , 
2019/4/17, 45, 14, 41, 21, , 
2019/4/18, 41, 14, 45, 17, , 
2019/4/19, 39, 20, 48, 25, , 
2019/4/20, 53, 22, 52, 21, 1, 
2019/4/21, 54, 16, 46, 14, , 
2019/4/22, 45, 22, 38, 18, , 
2019/4/23, 45, 26, 38, 21, , 
2019/4/24, 48, 14, 34, 20, , 
2019/4/25, 24, 10, 30, 16, , 
2019/4/26, 13, 11, 28, 14, , 
2019/4/27, 21, 9, 31, 11, , 
2019/4/28, 13, 14, 29, 18, , 
2019/4/29, 27, 20, 41, 15, , 
2019/4/30, 44, 26, 44, 20, , 
2019/5/1, 60, 45, 40, 18, , 
2019/5/2, 80, 10, 36, 14, , 
2019/5/3, 16, 14, 26, 12, , 
2019/5/4, 30, 12, 27, 11, , 
2019/5/5, 32, 14, 32, 17, , 
2019/5/6, 31, 17, 34, 19, , 
2019/5/7, 37, 25, 21, 23, , 
2019/5/8, 37, 9, 22, 17, , 
2019/5/9, 15, 7, 37, 19, , 
2019/5/10, 11, 15, 25, 18, , 
2019/5/11, 27, 10, 32, 12, , 
2019/5/12, 22, 8, 32, 15, , 
2019/5/13, 7, 9, 34, 14, , 
2019/5/14, 12, 9, 33, 14, , 
2019/5/15, 10, 11, 30, 14, 1, 
2019/5/16, 15, 17, 27, 15, , 
2019/5/17, 27, 10, 38, 21, , 
2019/5/18, 27, 16, 38, 13, , 
2019/5/19, 28, 31, 24, 17, , 
2019/5/20, 43, 13, 26, 13, , 
2019/5/21, 18, 18, 30, 17, , 
2019/5/22, 16, 9, 44, 24, , 
2019/5/23, 6, 18, 49, 30, , 
2019/5/24, 27, 17, 39, 14, 1, 
2019/5/25, 27, 24, 39, 14, , 
2019/5/26, 38, 12, 23, 15, , 
2019/5/27, 24, 20, 28, 18, , 
2019/5/28, 45, 6, 31, 14, , 
2019/5/29, 12, 7, 29, 12, , 
2019/5/30, 15, 3, 28, 15, , 
2019/5/31, 9, 15, 37, 19, , 
2019/6/1, 17, 23, 50, 19, , 
2019/6/2, 31, 14, 37, 25, , 
2019/6/3, 24, 23, 46, 21, , 
2019/6/4, 47, 18, 52, 26, , 
2019/6/5, 67, 16, 34, 15, , 
2019/6/6, 33, 18, 35, 16, , 
2019/6/7, 35, 9, 28, 9, , 
2019/6/8, 15, 14, 37, 15, , 
2019/6/9, 31, 14, 36, 9, , 
2019/6/10, 33, 12, 29, 18, , 
2019/6/11, 31, 14, 31, 19, , 
2019/6/12, 42, 14, 16, 20, , 
2019/6/13, 19, 18, , , , 
2019/3/17, 5, 11, , 19, , 
2019/3/18, 15, 24, , 29, , 
2019/3/19, 37, 28, , 29, , 
2019/3/20, 55, 27, , 32, 1, 
2019/3/21, 67, 27, , 31, 1, 
2019/3/22, 59, 57, 15, 23, 1, 
2019/3/23, 96, 39, 25, 16, , 
2019/3/24, 82, 12, 31, 16, , 
2019/3/25, 15, 17, 30, 21, , 
2019/3/26, 35, 30, 29, 25, , 
2019/3/27, 55, 34, 26, 24, , 
2019/3/28, 64, 19, 24, 24, , 
2019/3/29, 41, 24, 36, 24, , 
2019/3/30, 55, 36, 35, 19, , 
2019/3/31, 72, 21, 30, 18, , 
2018/10/1, 36, 14, 18, 17, , 
2018/10/2, 23, 17, , 13, , 
2018/10/3, 26, 28, , 29, , 
2018/10/4, 50, 27, 15, 29, 1, 
2018/10/5, 56, 35, 7, 34, , 
2018/10/6, 67, 28, 19, 22, , 
2018/10/7, 62, 20, 14, 26, 1, 
2018/10/8, 54, 41, 11, 29, 1, 
2018/10/9, 73, 33, 19, 29, , 
2018/10/10, 74, 41, 13, 35, , 
2018/10/11, 83, 37, 17, 34, 1, 
2018/10/12, 73, 29, 22, 34, 1, 
2018/10/13, 56, 33, 25, 37, 1, 
2018/10/14, 74, 38, 8, 39, 1, 
2018/10/15, 78, 37, 14, 39, 1, 
2018/10/16, 69, 40, 13, 41, 1, 
2018/10/17, 80, 49, 18, 33, 1, 
2018/10/18, 80, 31, 19, 28, , 
2018/10/19, 56, 34, 18, 23, , 
2018/10/20, 61, 18, 20, 27, , 
2018/10/21, 47, 25, 15, 25, , 
2018/10/22, 49, 23, 18, 22, , 
2018/10/23, 24, 17, 17, 15, , 
2018/10/24, 18, 20, 18, 15, , 
2018/10/25, 25, 31, 19, 19, , 
2018/10/26, 60, 10, 21, 17, , 
2018/10/27, 16, 9, 17, 12, , 
2018/10/28, 25, 9, 13, 9, 1, 
2018/10/29, 14, 9, 13, 13, , 
2018/10/30, 14, 19, 8, 25, 1, 
2018/10/31, 28, 23, 2, 25, , 
2018/11/1, 41, 16, 17, 24, , 
2018/11/2, 38, 27, 17, 27, 1, 
2018/11/3, 44, 31, 3, 16, , 
2018/11/4, 58, 28, 5, 19, , 
2018/11/5, 37, 36, 2, 22, 1, 
2018/11/6, 56, 28, 6, 25, 1, 
2018/11/7, 55, 13, 15, 27, , 
2018/11/8, 25, 40, 2, 23, 1, 
2018/11/9, 72, 32, 4, 19, , 
2018/11/10, 53, 9, 22, 17, , 
2018/11/11, 28, 28, 3, 27, 1, 
2018/11/12, 43, 14, 22, 28, , 
2018/11/13, 27, 33, 1, 23, , 
2018/11/14, 34, 26, 8, 15, , 
2018/11/15, 33, 24, 8, 20, 1, 
2018/11/16, 47, 18, 15, 18, , 
2018/11/17, 41, 14, 22, 18, 1, 
2018/11/18, 32, 11, 12, 12, , 
2018/11/19, 18, 25, , 13, 1, 
2018/11/20, 50, 22, 6, 16, , 
2018/11/21, 47, 30, 5, 21, , 
2018/11/22, 47, 37, 1, 21, 1, 
2018/11/23, 57, 37, 2, 25, 1, 
2018/11/24, 56, 30, 6, 20, , 
2018/11/25, 61, 22, 8, 18, , 
2018/11/26, 47, 23, 9, 17, , 
2018/11/27, 39, 28, 1, 22, 1, 
2018/11/28, 53, 32, 1, 19, , 
2018/11/29, 60, 41, , 24, 1, 
2018/11/30, 81, 18, 9, 22, , 
2018/12/1, 43, 5, 18, 15, , 
2018/12/2, 10, 5, 13, 16, , 
2018/12/3, 9, , , , , 
2018/7/1, 8, 5, 45, 17, , 
2018/7/2, 11, 7, 64, 25, , 
2018/7/3, 5, 24, 45, 33, , 
2018/7/4, 25, 27, 40, 18, , 
2018/7/5, 38, 18, 44, 14, , 
2018/7/6, 39, 17, 50, 22, , 
2018/7/7, 43, 13, 39, 24, , 
2018/7/8, 22, 7, 37, 24, , 
2018/7/9, 11, 13, 28, 13, , 
2018/7/10, 23, 16, 26, 16, , 
2018/7/11, 27, 14, 42, 16, , 
2018/7/12, 41, 16, 43, 23, , 
2018/7/13, 24, 15, 52, 31, , 
2018/7/14, 40, 23, 51, 25, , 
2018/7/15, 29, 12, 54, 25, , 
2018/7/16, 28, 15, 63, 29, , 
2018/7/17, 40, 8, 45, 19, , 
2018/7/18, 12, 21, 50, 21, , 
2018/7/19, 37, 24, 67, 31, , 
2018/7/20, 48, 35, 44, 23, , 
2018/7/21, 85, 28, 45, 22, , 
2018/7/22, 70, 25, 55, 23, , 
2018/7/23, 82, 23, 74, 29, , 
2018/7/24, 37, 25, 61, 31, , 
2018/7/25, 81, 17, 50, 24, , 
2018/7/26, 24, 25, 72, 31, , 
2018/7/27, 55, 27, 44, 35, , 
2018/7/28, 61, 14, 35, 26, , 
2018/7/29, 35, 17, 48, 30, , 
2018/7/30, 40, 21, 46, 27, , 
2018/7/31, 42, 23, 41, 25, , 
2018/8/1, 52, 17, 77, 27, , 
2018/8/2, 59, 23, 70, 33, , 
2018/8/3, 59, 27, 76, 33, , 
2018/8/4, 63, 15, 39, 23, , 
2018/8/5, 45, 16, 65, 26, , 
2018/8/6, 41, 32, 69, 36, , 
2018/8/7, 67, 23, 45, 22, , 
2018/8/8, 52, 25, 48, 24, , 
2018/8/9, 52, 9, 31, 13, , 
2018/8/10, 26, 10, 32, 16, , 
2018/8/11, 23, 13, 41, 28, , 
2018/8/12, 32, 20, 33, 28, , 
2018/8/13, 26, 13, 30, 8, , 
2018/8/14, 30, 19, 31, 25, , 
2018/8/15, 46, 18, 43, 30, , 
2018/8/16, 39, 27, 47, 33, , 
2018/8/17, 60, 15, 46, 21, , 
2018/8/18, 41, 17, 43, 32, , 
2018/8/19, 48, 18, 28, 18, , 
2018/8/20, 43, 21, 39, 25, , 
2018/8/21, 41, 19, 47, 26, , 
2018/8/22, 44, 32, 48, 31, , 
2018/8/23, 87, 16, 26, 17, , 
2018/8/24, 20, 11, 26, 12, , 
2018/8/25, 6, 8, 30, 16, , 
2018/8/27, 15, 18, 29, 24, , 
2018/8/28, 40, 28, 49, 33, , 
2018/8/29, 38, 23, 32, 12, , 
2018/8/30, 43, 19, 27, 28, , 
2018/8/31, 24, 16, 32, 22, , 
2018/9/1, 16, 14, 28, 16, , 
2018/9/2, 28, 22, 26, 19, , 
2018/9/3, 48, 26, 38, 27, , 
2018/9/4, 52, 34, 52, 38, , 
2018/9/5, 76, 43, 34, 39, , 
2018/9/6, 72, 23, 28, 20, , 
2018/9/7, 46, 10, 34, 18, , 
2018/9/8, 13, 16, 35, 31, , 
2018/9/9, 8, 20, 36, 30, , 
2018/9/10, 33, 19, 39, 27, , 
2018/9/11, 23, 20, 43, 33, , 
2018/9/12, 15, 24, 16, 17, , 
2018/9/13, 43, 11, 23, 19, 1, 
2018/9/14, 24, 16, 29, 27, , 
2018/9/15, 29, 16, 39, 35, 1, 
2018/9/16, 23, 27, 38, 41, 1, 
2018/9/17, 37, 32, 45, 37, 1, 
2018/9/18, 45, 30, 40, 34, , 
2018/9/19, 46, 29, 40, 34, , 
2018/9/20, 41, 31, 25, 37, 1, 
2018/9/21, 38, 14, 26, 14, , 
2018/9/22, 12, 15, 15, 15, , 
2018/9/23, 18, 11, 23, 17, , 
2018/9/24, 11, 14, 23, 25, 1, 
2018/9/25, 37, 12, 15, 37, , 
2018/9/26, 53, 28, 15, 33, 1, 
2018/9/27, 50, 36, 24, 32, 2, 
2018/9/28, 45, 13, 22, 21, , 
2018/9/29, 16, 24, 20, 30, 1, 
2018/9/30, 50, 21, 22, 24, 1, 
2018/4/1, 33, 18, , 19, , 
2018/4/2, 43, 14, , 34, , 
2018/4/3, 32, 23, , 29, , 
2018/4/4, 23, 9, , 15, , 
2018/4/5, 18, 16, , 29, , 
2018/4/6, 29, 18, , 30, , 
2018/4/7, 36, 26, , 34, , 
2018/4/8, 45, 31, , 36, , 
2018/4/9, 50, 27, , 25, , 
2018/4/10, 56, 14, , 17, , 
2018/4/11, 37, 25, , 24, , 
2018/4/12, 58, 28, , 29, , 
2018/4/13, 64, 25, , 23, , 
2018/4/14, 56, 10, , 26, , 
2018/4/15, 31, 12, , 38, , 
2018/4/16, 30, 22, , 28, , 
2018/4/17, 45, 21, , 30, , 
2018/4/18, 41, 24, , 36, , 
2018/4/19, 49, 30, , 36, , 
2018/4/20, 48, 41, , 34, , 
2018/4/21, 69, 36, , 34, , 
2018/4/22, 67, 28, , 23, , 
2018/4/23, 45, 17, , 19, , 
2018/4/24, 35, 22, , 22, , 
2018/4/25, 45, 13, , 15, , 
2018/4/26, 23, 18, , 27, , 
2018/4/27, 27, 18, , 26, , 
2018/4/28, 40, 19, , 24, , 
2018/4/29, 33, 11, , 15, , 
2018/4/30, 20, 10, , 10, , 
2018/5/1, 16, 22, , 27, , 
2018/5/2, 24, 19, , 27, , 
2018/5/3, 33, 17, , 31, , 
2018/5/4, 22, 17, , 16, , 
2018/5/5, 25, 15, , 14, , 
2018/5/6, 29, 16, , 21, , 
2018/5/7, 30, 18, , 21, , 
2018/5/8, 33, 28, , 35, , 
2018/5/9, 40, 41, , 29, , 
2018/5/11, 37, 21, , 29, , 
2018/5/12, 43, 16, , 19, , 
2018/5/13, 40, 24, , 26, , 
2018/5/14, 41, 19, 43, 25, , 
2018/5/15, 27, 16, 37, 20, , 
2018/5/16, 22, 22, 33, 18, , 
2018/5/17, 16, 31, 26, 17, , 
2018/5/18, 32, 21, 37, 21, , 
2018/5/19, 22, 22, 33, 28, , 
2018/5/20, 34, 11, 46, 14, , 
2018/5/21, 17, 23, 42, 31, , 
2018/5/22, 40, 24, 37, 27, , 
2018/5/23, 35, 23, 22, 24, , 
2018/5/24, 40, 27, 42, 22, , 
2018/5/25, 35, 13, 53, 23, , 
2018/5/26, 22, 19, 48, 29, , 
2018/5/27, 35, 22, 54, 26, , 
2018/5/28, 30, 28, 43, 21, , 
2018/5/29, 38, 17, 43, 22, , 
2018/5/30, 25, 18, 45, 23, , 
2018/5/31, 24, 14, 35, 19, , 
2018/6/1, 30, 13, 35, 15, , 
2018/6/2, 25, 12, 40, 23, , 
2018/6/3, 15, 16, 47, 21, , 
2018/6/4, 16, 21, 49, 22, , 
2018/6/5, 32, 24, 59, 19, , 
2018/6/7, 38, 23, 53, 23, , 
2018/6/8, 42, 31, 53, 23, , 
2018/6/9, 51, 18, 50, 20, , 
2018/6/11, 55, 14, 21, 18, , 
2018/6/12, 21, 10, 22, 14, , 
2018/6/13, 27, 12, 36, 18, , 
2018/6/14, 51, 15, 32, 21, , 
2018/6/15, 34, 20, 45, 27, , 
2018/6/16, 44, 10, 31, 12, , 
2018/6/17, 20, 9, 30, 17, , 
2018/6/18, 22, 10, 21, 13, , 
2018/6/19, 23, 13, 43, 21, , 
2018/6/20, 32, 15, 33, 20, , 
2018/6/21, 12, 20, 27, 11, , 
2018/6/22, 18, 18, 26, 13, , 
2018/6/23, 26, 16, 36, 17, , 
2018/6/24, 46, 8, 25, 12, , 
2018/6/25, 10, 15, 28, 23, , 
2018/6/26, 61, 11, 37, 19, , 
2018/6/27, 5, 9, 42, 17, , 
2018/6/28, 17, 11, 49, 22, , 
2018/6/29, 22, 15, 44, 23, , 
2018/6/30, 22, 4, 40, 11, , 
2018/1/1, 27, 11, , 17, , 
2018/1/2, 23, 8, , 9, , 
2018/1/3, 14, 14, , 20, , 
2018/1/4, 33, 12, , 21, , 
2018/1/5, 20, 22, , 29, , 
2018/1/6, 55, 4, , 11, , 
2018/1/7, 17, 14, , 13, , 
2018/1/8, 53, 19, , 19, , 
2018/1/9, 56, 21, , 23, , 
2018/1/10, 49, 32, , 27, , 
2018/1/11, 79, 38, , 21, , 
2018/1/12, 82, 27, , 19, , 
2018/1/13, 68, 19, , 14, , 
2018/1/14, 58, 25, , 22, , 
2018/1/15, 68, 4, , 14, , 
2018/1/16, 5, 8, , 15, , 
2018/1/17, 12, 10, , 15, , 
2018/1/18, 11, 11, , 24, , 
2018/1/19, 18, 12, , 24, , 
2018/1/20, 35, 10, , 23, , 
2018/1/21, 24, 18, , 27, , 
2018/1/22, 46, 20, , 22, , 
2018/1/23, 28, 11, , 16, , 
2018/1/24, 19, 21, , 24, , 
2018/1/25, 50, 16, , 27, , 
2018/1/26, 37, 36, , 23, , 
2018/1/27, 78, 8, , 12, , 
2018/1/28, 19, 9, , 11, , 
2018/1/29, 22, 18, , 22, , 
2018/1/30, 32, 13, , 28, , 
2018/1/31, 33, 10, , 20, , 
2018/2/1, 17, 15, , 19, , 
2018/2/2, 38, 17, , 43, , 
2018/2/3, 41, 16, , 22, , 
2018/2/4, 50, 15, , 16, , 
2018/2/5, 50, 27, , 17, , 
2018/2/6, 68, 45, , 30, , 
2018/2/7, 105, 59, , 27, , 
2018/2/8, 144, 56, , 30, , 
2018/2/9, 131, 30, , 21, , 
2018/2/10, 73, 9, , 15, , 
2018/2/11, 29, 10, , 25, , 
2018/2/12, 23, 21, , 34, , 
2018/2/13, 44, 25, , 33, , 
2018/2/14, 62, 35, , 33, , 
2018/2/15, 79, 29, , 34, , 
2018/2/16, 66, 29, , 28, , 
2018/2/17, 64, 42, , 29, , 
2018/2/18, 87, 36, , 29, , 
2018/2/19, 83, 45, , 33, , 
2018/2/20, 91, 43, , 18, , 
2018/2/21, 105, 19, , 14, , 
2018/2/22, 56, 22, , 16, , 
2018/2/23, 63, 21, , 13, , 
2018/2/24, 60, 13, , 13, , 
2018/2/25, 42, 14, , 16, , 
2018/2/26, 45, 15, , 14, , 
2018/2/27, 47, 30, , 20, , 
2018/2/28, 76, 28, , 16, , 
2018/3/1, 71, 51, , 22, , 
2018/3/2, 119, 62, , 26, , 
2018/3/3, 152, 61, , 27, , 
2018/3/4, 133, 27, , 30, , 
2018/3/5, 55, 59, , 36, , 
2018/3/6, 124, 19, , 19, , 
2018/3/7, 45, 13, , 15, , 
2018/3/8, 29, 24, , 29, , 
2018/3/9, 47, 25, , 30, , 
2018/3/10, 58, 26, , 22, , 
2018/3/11, 62, 19, , 20, , 
2018/3/12, 42, 8, , 10, , 
2018/3/13, 13, 15, , 21, , 
2018/3/14, 31, 18, , 25, , 
2018/3/15, 49, 18, , 23, , 
2018/3/16, 49, 18, , 12, , 
2018/3/17, 57, 20, , 11, , 
2018/3/18, 58, 22, , 16, , 
2018/3/19, 57, 24, , 33, , 
2018/3/20, 63, 21, , 38, , 
2018/3/21, 47, 30, , 27, , 
2018/3/22, 67, 27, , 25, , 
2018/3/23, 69, 25, , 32, , 
2018/3/24, 61, 30, , 32, , 
2018/3/25, 71, 40, , 26, , 
2018/3/26, 90, 30, , 32, , 
2018/3/27, 61, 17, , 22, , 
2018/3/28, 40, 8, , 16, , 
2018/3/29, 25, 17, , 34, , 
2018/3/30, 40, 11, , 17, , 
2018/3/31, 35, 12, , 36, , 
2017/10/1, 25, 11, 11, 23, , 
2017/10/2, 24, 9, 24, 21, , 
2017/10/3, 8, 18, 24, 23, , 
2017/10/4, 28, 13, 23, 15, , 
2017/10/5, 15, 11, 20, 13, , 
2017/10/6, 15, 12, 24, 13, , 
2017/10/7, 12, 3, 20, 10, , 
2017/10/8, 6, 19, 16, 23, , 
2017/10/9, 35, 21, 6, 16, , 
2017/10/10, 44, 11, 20, 24, , 
2017/10/11, 32, 13, 23, 20, , 
2017/10/12, 29, 26, 13, 23, , 
2017/10/13, 39, 19, 14, 46, , 
2017/10/14, 39, 46, 4, 23, , 
2017/10/15, 77, 37, 2, 27, , 
2017/10/16, 63, 37, 6, 31, , 
2017/10/17, 71, 44, 3, 29, , 
2017/10/18, 77, 40, 4, 33, , 
2017/10/19, 68, 30, 21, 25, , 
2017/10/20, 56, 19, 14, 21, , 
2017/10/21, 35, 12, 22, 12, , 
2017/10/22, 9, 12, 20, 18, , 
2017/10/23, 14, 15, 12, 20, , 
2017/10/24, 32, 12, 15, 20, , 
2017/10/25, 32, 22, 5, 21, , 
2017/10/26, 42, 15, 22, 23, , 
2017/10/27, 23, 15, 19, 16, , 
2017/10/28, 16, 12, 26, 9, , 
2017/10/29, 11, 20, 19, 22, , 
2017/10/30, 31, 18, 19, 26, , 
2017/10/31, 30, 22, 19, 24, , 
2017/11/1, 33, 35, 19, 27, , 
2017/11/2, 59, 47, 2, 29, , 
2017/11/3, 80, 47, 1, 23, , 
2017/11/4, 85, 24, 21, 22, , 
2017/11/5, 43, 16, 18, 22, , 
2017/11/6, 38, 19, 6, 26, , 
2017/11/7, 42, 30, , 21, , 
2017/11/8, 59, 27, 1, 16, , 
2017/11/9, 56, 17, 15, 18, , 
2017/11/10, 33, 14, 17, 22, , 
2017/11/11, 23, 11, 21, 23, , 
2017/11/12, 28, 16, 19, 25, , 
2017/11/13, 31, 30, 11, 27, , 
2017/11/14, 49, 35, 3, 26, , 
2017/11/15, 73, 25, 10, 21, , 
2017/11/16, 61, 45, 1, 18, , 
2017/11/17, 88, 21, 21, 46, , 
2017/11/18, 42, 11, 23, 12, , 
2017/11/19, 21, 20, 16, 19, , 
2017/11/20, 45, 9, 14, 15, , 
2017/11/21, 23, 28, 15, 24, , 
2017/11/22, 56, 34, 18, 31, , 
2017/11/23, 56, 22, 20, 26, , 
2017/11/24, 45, 16, 17, 25, , 
2017/11/25, 33, 11, 20, 15, , 
2017/11/26, 21, 12, 20, 15, , 
2017/11/27, 26, 11, 22, 22, , 
2017/11/28, 24, 18, 12, 26, , 
2017/11/29, 44, 20, 10, 22, , 
2017/11/30, 53, 22, 11, 26, , 
2017/12/1, 55, 37, 2, 28, , 
2017/12/2, 75, 23, 9, 20, , 
2017/12/3, 61, 15, 7, 19, , 
2017/12/4, 43, 22, 11, 16, , 
2017/12/5, 52, 25, 14, 14, , 
2017/12/6, 57, 22, 20, 18, , 
2017/12/7, 60, 12, 22, 16, , 
2017/12/8, 13, 13, 22, 14, , 
2017/12/9, 24, 13, 22, 18, , 
2017/12/10, 30, 8, 21, 23, , 
2017/12/11, 17, 12, 21, 27, , 
2017/12/12, 27, 16, 16, 21, , 
2017/12/13, 39, 11, 29, 18, , 
2017/12/14, 21, 11, 18, 26, , 
2017/12/15, 24, 16, 14, 26, , 
2017/12/16, 13, 12, 19, 16, , 
2017/12/17, 32, 16, 15, 19, , 
2017/12/18, 46, 22, 1, 31, , 
2017/12/19, 64, 14, 2, 20, , 
2017/12/20, 40, 15, 1, 22, , 
2017/12/21, 46, 24, , 19, , 
2017/12/22, 61, 14, 17, 20, , 
2017/12/23, 34, 5, 20, 8, , 
2017/12/24, 7, 8, 20, 7, , 
2017/12/25, 31, 13, 22, 13, , 
2017/12/26, 35, 10, 13, 21, , 
2017/12/27, 28, 11, 21, 16, , 
2017/12/28, 28, 12, 18, 13, , 
2017/12/29, 29, 12, 21, 26, , 
2017/12/30, 24, , , , , 
2017/7/1, 22, 16, 26, 15, , 
2017/7/2, 33, 13, 34, 20, , 
2017/7/3, 24, 20, 39, 24, , 
2017/7/4, 38, 20, 42, 32, , 
2017/7/5, 42, 28, 55, 36, , 
2017/7/6, 61, 19, 47, 22, , 
2017/7/7, 45, 21, 45, 31, , 
2017/7/8, 48, 25, 55, 33, , 
2017/7/9, 63, 18, 34, 21, , 
2017/7/10, 44, 13, 29, 15, , 
2017/7/11, 30, 28, 20, 17, , 
2017/7/12, 39, 22, 26, 21, , 
2017/7/13, 30, 24, 39, 24, , 
2017/7/14, 38, 14, 26, 11, , 
2017/7/15, 27, 17, 30, 24, , 
2017/7/16, 42, 31, 24, 21, , 
2017/7/17, 50, 19, 45, 22, , 
2017/7/18, 38, 23, 55, 26, , 
2017/7/19, 46, 26, 29, 24, , 
2017/7/20, 41, 21, 40, 21, , 
2017/7/21, 30, 17, 38, 15, , 
2017/7/22, 40, 12, 25, 11, , 
2017/7/23, 23, 11, 23, 14, , 
2017/7/24, 15, 11, 22, 14, , 
2017/7/25, 24, 10, 29, 13, , 
2017/7/26, 24, 13, 18, 19, , 
2017/7/27, 28, 13, 26, 13, , 
2017/7/28, 18, 17, 28, 23, , 
2017/7/29, 26, 17, 24, 33, , 
2017/7/30, 33, 17, 28, 19, , 
2017/7/31, 28, 12, 23, 23, , 
2017/8/1, 27, 10, 37, 23, , 
2017/8/2, 27, 21, 24, 27, , 
2017/8/3, 43, 10, 32, 17, , 
2017/8/4, 20, 23, 23, 21, , 
2017/8/5, 32, 16, 35, 15, , 
2017/8/6, 31, 10, 44, 26, , 
2017/8/7, 28, 20, 31, 29, , 
2017/8/8, 44, 9, 35, 17, , 
2017/8/9, 24, 18, 20, 19, , 
2017/8/10, 48, 17, 19, 20, , 
2017/8/11, 42, 13, 19, 14, , 
2017/8/12, 32, 10, 31, 15, , 
2017/8/13, 25, 15, 31, 28, , 
2017/8/14, 34, 24, 19, 28, , 
2017/8/15, 51, 17, 33, 23, , 
2017/8/16, 40, 20, 24, 27, , 
2017/8/17, 43, 12, 18, 21, , 
2017/8/18, 30, 8, 25, 32, , 
2017/8/19, 13, 10, 25, 15, , 
2017/8/20, 14, 13, 31, 21, , 
2017/8/21, 21, 21, 37, 25, , 
2017/8/22, 42, 22, 43, 34, , 
2017/8/23, 52, 19, 27, 33, , 
2017/8/24, 42, 20, 25, 26, , 
2017/8/25, 41, 24, 35, 24, , 
2017/8/26, 59, 34, 41, 26, , 
2017/8/27, 79, 21, 40, 31, , 
2017/8/28, 55, 26, 45, 39, , 
2017/8/29, 56, 33, 39, 33, , 
2017/8/30, 58, 11, 26, 15, , 
2017/8/31, 29, 15, 26, 26, , 
2017/9/1, 33, 15, 23, 24, , 
2017/9/2, 36, 17, 31, 22, , 
2017/9/3, 44, 16, 28, 25, , 
2017/9/4, 42, 16, 32, 24, , 
2017/9/5, 47, , , , , 
2017/9/11, 16, 13, 19, 15, , 
2017/9/12, 15, 10, 23, 13, , 
2017/9/13, 12, 6, 24, 15, , 
2017/9/14, 12, 10, 23, 14, , 
2017/9/15, 19, 13, 21, 22, , 
2017/9/16, 26, 15, 23, 23, , 
2017/9/17, 37, 13, 25, 20, , 
2017/9/18, 33, 13, 17, 25, , 
2017/9/19, 32, 29, 20, 31, , 
2017/9/20, 62, 23, 19, 29, , 
2017/9/21, 49, 24, 12, 29, , 
2017/9/22, 55, 36, 21, 34, , 
2017/9/23, 77, 35, 19, 24, , 
2017/9/24, 77, 23, 16, 23, , 
2017/9/25, 52, 27, 9, 28, , 
2017/9/26, 58, 34, 19, 28, , 
2017/9/27, 65, 43, 7, 31, , 
2017/9/28, 81, 29, 22, 29, , 
2017/9/29, 62, 31, 19, 27, , 
2017/9/30, 66, 13, 17, 19, , 
2017/4/1, 61, 14, , 18, , 
2017/4/2, 30, 24, , 35, , 
2017/4/3, 50, 23, , 26, , 
2017/4/4, 45, 30, , 26, , 
2017/4/5, 61, 14, , 19, , 
2017/4/6, 24, 34, , 25, , 
2017/4/7, 69, 44, , 28, , 
2017/4/8, 92, 31, , 31, , 
2017/4/9, 67, 33, , 33, , 
2017/4/10, 62, 13, , 22, , 
2017/4/11, 25, 17, , 29, , 
2017/4/12, 33, 23, , 15, , 
2017/4/13, 47, 19, , 22, , 
2017/4/14, 41, 20, , 36, , 
2017/4/15, 44, 15, , 19, , 
2017/4/16, 33, 14, , 18, , 
2017/4/17, 34, 10, , 15, , 
2017/4/18, 26, 10, , 15, , 
2017/4/19, 28, 17, , 29, , 
2017/4/20, 43, 38, , 32, , 
2017/4/21, 77, 16, , 13, , 
2017/4/22, 30, 12, , 16, , 
2017/4/23, 19, 19, , 28, , 
2017/4/24, 40, 16, , 30, , 
2017/4/25, 33, 12, , 22, , 
2017/4/26, 25, 23, , 28, , 
2017/4/27, 45, 24, , 28, , 
2017/4/28, 48, 15, , 20, , 
2017/4/29, 37, 12, , 13, , 
2017/4/30, 28, 15, 30, 17, , 
2017/5/1, 34, 23, 14, 20, , 
2017/5/2, 45, 17, 22, 23, , 
2017/5/3, 42, 30, 18, 25, , 
2017/5/4, 61, 13, 19, 16, , 
2017/5/5, 29, 12, 39, 19, , 
2017/5/6, 35, , 22, , , 
2017/5/8, 55, 12, 36, 26, , 
2017/5/9, 29, 21, 38, 33, , 
2017/5/10, 44, 19, 39, 32, , 
2017/5/11, 45, 9, 26, 20, , 
2017/5/12, 29, 19, 32, 40, , 
