date, pm25, pm10, o3, no2, so2, co
2024/4/6, 10, 19, 38, 16, , 
2024/4/7, 34, 25, 36, 17, , 
2024/4/8, 21, 27, 32, 18, , 
2024/4/9, 19, 9, 32, 10, , 
2024/4/10, 6, 13, 37, 15, , 
2024/4/11, 10, 15, 31, 17, , 
2024/4/12, 17, 16, 30, 13, , 
2024/4/13, 15, 12, 33, 13, , 
2024/4/14, 28, 9, 39, 9, , 
2024/4/15, 12, 5, 37, 5, , 
2024/4/16, 9, 10, 33, 8, , 
2024/4/17, 22, 12, 30, 10, , 
2024/4/18, 29, 9, 31, 9, , 
2024/4/19, 10, 8, 29, 7, , 
2024/4/20, 16, 8, 29, 8, , 
2024/4/21, 16, 9, 31, 11, , 
2024/4/22, 25, 11, 36, 13, , 
2024/4/23, 24, 14, 36, 10, , 
2024/4/24, 36, 10, 35, 8, , 
2024/4/25, 11, 15, 33, 16, , 
2024/4/26, 19, 14, 36, 11, 1, 
2024/4/27, 35, 6, 39, 14, , 
2024/4/28, 8, 9, 36, 13, , 
2024/4/29, 19, 17, 41, 20, , 
2024/4/30, 35, 35, 47, 18, , 
2024/5/1, 76, 24, 43, 12, , 
2024/5/2, 59, 19, 28, 7, , 
2024/5/3, 39, 13, 33, 12, 1, 
2024/5/4, 21, 7, 32, 5, , 
2024/5/5, 20, 9, 25, 11, , 
2024/5/6, 22, 9, 27, 11, , 
2024/5/7, 19, 13, 31, 8, , 
2024/5/8, 36, 26, 41, 11, , 
2024/5/9, 58, 9, 46, 13, , 
2024/5/10, 19, 13, 46, 13, , 
2024/5/11, 42, 13, 45, 10, 1, 
2024/5/12, 49, 13, 40, 13, , 
2024/5/13, 49, 12, 47, 13, , 
2024/5/14, 34, 11, 39, 11, , 
2024/5/15, 40, 16, 31, 12, , 
2024/5/16, 41, 11, 30, 12, , 
2024/5/17, 39, 9, 20, 10, , 
2024/5/18, 27, 15, 27, 7, 1, 
2024/5/19, 46, 13, 42, 8, , 
2024/5/20, 31, 13, 41, 13, , 
2024/5/21, 24, 11, 28, 8, , 
2024/5/22, 28, 14, 41, 13, , 
2024/5/23, 34, 13, 36, 11, , 
2024/5/24, 38, 8, 32, 9, , 
2024/5/25, 34, 11, 39, 10, , 
2024/5/26, 38, 9, 32, 9, , 
2024/5/27, 36, 6, 36, 9, , 
2024/5/28, 29, 7, 34, 9, , 
2024/5/29, 19, 7, 26, 6, , 
2024/5/30, 20, 14, 33, 10, , 
2024/5/31, 23, 11, 31, 8, , 
2024/6/1, 35, 20, 26, 9, , 
2024/6/2, 61, 15, 34, 8, , 
2024/6/3, 41, 17, 37, 11, 1, 
2024/6/4, 46, 13, 37, 11, , 
2024/6/5, 34, 9, 35, 10, , 
2024/6/6, 22, 16, 42, 13, 1, 
2024/6/7, 49, 23, 40, 12, , 
2024/6/8, 55, 8, 38, 7, , 
2024/6/9, 27, 11, 39, 9, 1, 
2024/6/10, 18, 8, 30, 6, , 
2024/6/11, 17, 2, 33, 8, , 
2024/6/12, 11, 6, 39, 10, 1, 
2024/6/13, 24, 11, 36, 15, , 
